exp_id,model,snr_db,macro_f1_mean,macro_f1_std
401,WDCNN,0.0,0.48330927566231724,0.05934520584263506
401,WDCNN,10.0,0.8763644633570031,0.15847379250084825
401,WDCNN,5.0,0.8171158421211159,0.16694559483666918
401,WDCNN,clean,0.8819572143241129,0.15431511785156685
402,InceptionTime,0.0,0.4115785801951448,0.00977535676418869
402,InceptionTime,10.0,0.7779168728988749,0.22744173913903562
402,InceptionTime,5.0,0.7401227807402412,0.24153300356425592
402,InceptionTime,clean,0.821708828525844,0.21296462401786814
403,ResNet1D,0.0,0.3976327267045856,0.02044403455626625
403,ResNet1D,10.0,0.531188643901971,0.12779040828941918
403,ResNet1D,5.0,0.5377653527824057,0.18280369710980415
403,ResNet1D,clean,0.8050883595318568,0.1980416221014237
404,CNN-BiLSTM-Attn,0.0,0.3487618248178537,0.08299936045362667
404,CNN-BiLSTM-Attn,10.0,0.6297794938849092,0.16390936583160565
404,CNN-BiLSTM-Attn,5.0,0.4405545293645063,0.03942378462572819
404,CNN-BiLSTM-Attn,clean,0.864004044416301,0.17449181802922928
